28;19/02/2002;38;22;01;26;13;10;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;1.123.000,64;27;49;34;40;30;31;0;0,00;7;11.130,19;607;127,88;0,00
29;22/02/2002;50;23;39;19;12;01;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;1.374.281,70;47;45;41;35;25;16;0;0,00;11;7.614,58;928;89,92;0,00
30;26/02/2002;33;36;08;21;18;46;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;1.616.173,24;28;05;03;15;43;13;0;0,00;27;2.986,32;1775;45,26;0,00
31;01/03/2002;20;19;29;05;32;43;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;1.878.394,41;35;31;49;46;47;36;0;0,00;19;4.600,37;758;114,89;0,00
32;05/03/2002;30;47;18;39;20;24;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;2.135.511,41;14;06;12;39;26;25;0;0,00;27;3.174,29;1416;60,30;0,00
33;08/03/2002;24;17;32;11;19;16;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;2.414.365,17;33;21;22;25;49;13;0;0,00;21;4.426,25;1443;64,18;0,00
34;12/03/2002;07;29;41;40;45;01;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;2.728.434,75;29;24;45;22;01;15;0;0,00;29;3.610,00;1454;71,73;0,00
35;15/03/2002;06;26;02;30;01;45;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;NAO;0,00;08;07;47;33;13;28;1;175.661,04;85;1.377,74;3194;36,53;0,00
36;19/03/2002;14;12;50;09;22;17;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;3.241.084,98;44;13;42;41;45;02;0;0,00;19;5.912,09;1557;71,88;0,00
37;22/03/2002;45;25;33;48;47;11;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;3.632.410,35;45;30;10;29;11;47;0;0,00;39;3.344,66;1686;77,08;0,00
38;26/03/2002;18;19;31;39;46;02;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;4.025.375,98;29;24;48;45;15;22;0;0,00;224;582,55;2291;56,96;0,00
